Date,Open,High,Low,Close,Adj Close,Volume
2023-07-07,41.040001,41.340000,40.750000,40.779999,40.022434,179700
2023-07-10,40.919998,41.500000,40.919998,41.410000,40.640732,135200
2023-07-11,41.410000,41.950001,41.330002,41.599998,40.827198,128200
2023-07-12,42.330002,42.330002,41.680000,41.900002,41.121632,160600
2023-07-13,42.060001,42.099998,41.540001,41.590000,40.817387,140300
2023-07-14,41.340000,41.509998,40.849998,41.490002,40.719250,115700
2023-07-17,41.480000,41.720001,41.160000,41.369999,40.601475,143900
2023-07-18,41.380001,41.830002,41.200001,41.570000,40.797756,147700
2023-07-19,41.340000,42.290001,41.340000,42.279999,41.494572,196100
2023-07-20,42.520000,42.570000,42.049999,42.209999,41.425869,239800
2023-07-21,42.480000,42.669998,41.939999,41.980000,41.200146,192200
2023-07-24,41.869999,42.730000,41.709999,42.560001,41.769371,196900
2023-07-25,42.240002,43.090000,42.160000,43.020000,42.220825,172500
2023-07-26,42.880001,43.660000,42.580002,42.849998,42.053982,132300
2023-07-27,43.020000,43.240002,42.180000,42.410000,41.622154,266900
2023-07-28,38.330002,40.830002,38.009998,40.560001,39.806522,444800
2023-07-31,40.200001,40.490002,38.700001,39.299999,38.569927,323300
2023-08-01,39.180000,39.580002,38.799999,39.130001,38.403088,293500
2023-08-02,38.750000,39.630001,38.750000,39.310001,38.579742,174200
2023-08-03,39.270000,39.270000,38.439999,38.470001,37.755348,206400
2023-08-04,38.430000,39.340000,38.259998,39.240002,38.511047,241800
2023-08-07,39.389999,39.860001,38.950001,39.020000,38.295128,145600
2023-08-08,38.580002,38.919998,38.270000,38.540001,37.824047,133500
2023-08-09,38.419998,39.040001,38.189999,38.880001,38.157738,116100
2023-08-10,39.070000,39.310001,38.320000,38.590000,37.873123,147700
2023-08-11,38.680000,38.759998,38.270000,38.349998,37.637573,182100
2023-08-14,38.070000,38.270000,37.799999,37.950001,37.245007,137100
2023-08-15,37.689999,37.849998,37.419998,37.529999,36.832806,113000
2023-08-16,37.439999,38.029999,37.439999,37.500000,36.803368,198100
2023-08-17,37.700001,38.230000,37.700001,38.160000,37.451111,161100
2023-08-18,37.830002,38.490002,37.830002,38.200001,37.490360,264600
2023-08-21,38.130001,38.310001,37.959999,38.230000,37.519806,122600
2023-08-22,38.209999,38.459999,38.209999,38.419998,37.706276,119000
2023-08-23,38.189999,38.779999,37.980000,38.680000,38.120201,120900
2023-08-24,38.430000,38.810001,38.220001,38.330002,37.775269,138400
2023-08-25,38.509998,38.590000,37.930000,38.310001,37.755554,81700
2023-08-28,38.400002,38.939999,38.400002,38.619999,38.061066,106900
2023-08-29,38.619999,38.689999,38.330002,38.560001,38.001938,184000
2023-08-30,38.570000,38.910000,38.570000,38.740002,38.179333,92800
2023-08-31,38.849998,39.419998,38.840000,39.299999,38.731224,395900
2023-09-01,39.540001,39.959999,39.040001,39.220001,38.652386,190500
2023-09-05,38.709999,38.790001,37.380001,37.639999,37.095249,286500
2023-09-06,37.860001,38.299999,37.430000,37.660000,37.114960,216400
2023-09-07,37.730000,37.730000,36.709999,36.869999,36.336391,225200
2023-09-08,36.860001,37.020000,36.389999,36.549999,36.021023,166100
2023-09-11,36.549999,36.740002,36.299999,36.360001,35.833775,161600
2023-09-12,36.200001,36.320000,35.930000,36.070000,35.547970,155400
2023-09-13,36.150002,36.150002,35.500000,35.700001,35.183327,167700
2023-09-14,35.980000,36.599998,35.980000,36.560001,36.030884,171600
2023-09-15,36.480000,36.849998,36.049999,36.340000,35.814064,845900
2023-09-18,36.490002,36.860001,36.250000,36.299999,35.774647,128300
2023-09-19,36.169998,36.209999,35.730000,35.959999,35.439560,135300
2023-09-20,36.099998,36.430000,35.650002,35.669998,35.153763,104100
2023-09-21,35.470001,35.549999,34.970001,35.040001,34.532875,200900
2023-09-22,34.980000,35.130001,34.160000,34.209999,33.714890,198300
2023-09-25,34.139999,34.549999,34.020000,34.459999,33.961273,135900
2023-09-26,34.250000,34.400002,33.799999,33.810001,33.320683,165500
2023-09-27,34.070000,34.580002,33.939999,34.299999,33.803585,153800
2023-09-28,34.400002,34.970001,34.330002,34.450001,33.951416,241500
2023-09-29,34.669998,34.799999,33.880001,33.970001,33.478367,180200
2023-10-02,33.869999,33.889999,32.970001,33.330002,32.847630,648500
2023-10-03,33.250000,33.650002,32.900002,32.930000,32.453415,207900
2023-10-04,32.990002,33.349998,32.660000,33.150002,32.670231,196300
2023-10-05,33.000000,33.299999,32.529999,32.990002,32.512550,229800
2023-10-06,32.790001,33.450001,32.520000,33.049999,32.571682,201300
2023-10-09,32.919998,33.270000,32.759998,32.770000,32.295731,129700
2023-10-10,32.919998,33.389999,32.849998,33.250000,32.768787,167800
2023-10-11,33.240002,33.570000,33.160000,33.340000,32.857483,109800
2023-10-12,33.430000,33.430000,32.549999,32.950001,32.473125,158600
2023-10-13,32.709999,33.040001,32.580002,32.919998,32.443558,190800
2023-10-16,33.299999,33.509998,33.070000,33.349998,32.867336,164100
2023-10-17,33.200001,33.930000,33.200001,33.639999,33.153141,228800
2023-10-18,33.349998,33.450001,32.930000,33.209999,32.729362,267100
2023-10-19,33.049999,33.490002,32.810001,32.980000,32.502697,318300
